avg,pref,manual,action,reward,next_avg,next_pref,next_manual
30,-8,0,0,0.5,35,-8,0
15,-8,0,1,0.5,26,-8,0
6,-8,0,1,0.5,17,-8,0
30.23652720451355,-8,0,1,0.5,30.23652720451355,-8,0
15.116092205047607,-8,0,1,0.5,15.116092205047607,-8,0
11.600484490394592,-8,0,1,0.5,11.600484490394592,-8,0
30.23652720451355,-8,0,1,0.5,30.23652720451355,-8,0
20.67084002494812,-8,0,1,0.5,20.67084002494812,-8,0
13.453346252441406,-8,0,1,0.5,13.453346252441406,-8,0
32.75935661792755,-8,0,1,0.5,32.75935661792755,-8,0
22.855238755544026,-8,0,1,0.5,22.855238755544026,-8,0
17.754559373855592,-8,0,1,0.5,17.754559373855592,-8,0
35.616079012552895,0,0,1,0.0,35.616079012552895,0,0
25.2012180685997,-8,0,1,0.5,25.2012180685997,-8,0
21.584734439849854,-8,0,1,0.5,21.584734439849854,-8,0
35.616079012552895,0,0,1,0.0,35.616079012552895,0,0
26.365425968170165,0,1,1,1.0,26.365425968170165,0,1
24.01119441986084,0,0,1,0.2,24.01119441986084,0,0
37.800055265426636,0,0,1,0.0,37.800055265426636,0,0
26.01072244644165,0,1,1,1.0,26.01072244644165,0,1
22.594936037063597,0,1,2,1.0,22.594936037063597,0,1
37.09262561798096,0,0,1,0.0,37.09262561798096,0,0
18.95676279067993,0,2,2,1.0,18.95676279067993,0,2
17.15070195198059,0,2,1,1.0,17.15070195198059,0,2
38.30256338119507,0,0,1,0.0,38.30256338119507,0,0
18.40287880897522,0,2,1,1.0,18.40287880897522,0,2
17.627611207962037,0,2,1,1.0,17.627611207962037,0,2
38.30439157485962,0,0,1,0.0,38.30439157485962,0,0
17.34601936340332,0,2,1,1.0,17.34601936340332,0,2
16.14923300743103,0,2,2,1.0,16.14923300743103,0,2
37.299653387069704,0,0,1,0.0,37.299653387069704,0,0
18.76039614677429,0,2,0,1.0,18.76039614677429,0,2
15.33957381248474,0,2,1,1.0,15.33957381248474,0,2
35.68896799087524,0,0,1,0.0,35.68896799087524,0,0
15.940831804275513,0,1,1,1.0,15.940831804275513,0,1
15.138978815078735,0,2,1,1.0,15.138978815078735,0,2
35.68896799087524,0,0,1,0.0,35.68896799087524,0,0
14.733202791213989,0,1,1,1.0,14.733202791213989,0,1
14.33125343322754,0,1,1,1.0,14.33125343322754,0,1
35.889293575286864,0,0,1,0.0,35.889293575286864,0,0
14.532575559616088,0,0,1,0.2,14.532575559616088,0,0
10.494655990600586,0,1,1,1.0,10.494655990600586,0,1
35.48107438087463,0,0,0,0.0,35.48107438087463,0,0
14.334111642837524,0,0,1,0.2,14.334111642837524,0,0
9.610789775848389,0,1,1,1.0,9.610789775848389,0,1
35.279845762252805,0,0,1,0.2,35.279845762252805,0,0
14.12877345085144,0,0,1,0.2,14.12877345085144,0,0
9.090572404861451,0,1,1,1.0,9.090572404861451,0,1
33.86447639465332,0,0,1,0.0,33.86447639465332,0,0
14.131738424301147,0,0,1,0.2,14.131738424301147,0,0
8.690614652633666,0,1,1,1.0,8.690614652633666,0,1
